iter	RMSE
0	9.096669742
1	8.784504516
2	8.485930352
3	8.196783868
4	7.932599225
5	7.682653064
6	7.428751272
7	7.188824837
8	6.966715525
9	6.751560746
10	6.549458385
11	6.365609759
12	6.171520633
13	5.991849813
14	5.826904257
15	5.667534813
16	5.511701735
17	5.36366415
18	5.224000076
19	5.079087984
20	4.955919768
21	4.830657915
22	4.717458429
23	4.610473029
24	4.497990117
25	4.395836345
26	4.295117484
27	4.200269344
28	4.116652982
29	4.035746853
30	3.957820677
31	3.881764729
32	3.808764017
33	3.742015463
34	3.67313245
35	3.61433153
36	3.549239119
37	3.49618565
38	3.442433104
39	3.395306737
40	3.343489189
41	3.300001509
42	3.254190057
43	3.21289409
44	3.173297091
45	3.135005484
46	3.104362679
47	3.072172525
48	3.044301811
49	3.014123443
50	2.98447719
51	2.957687917
52	2.923920264
53	2.895058313
54	2.869452529
55	2.850376814
56	2.822497251
57	2.800625878
58	2.771718934
59	2.755456718
60	2.73929032
61	2.722537265
62	2.705949872
63	2.692100403
64	2.67696775
65	2.653800623
66	2.637313195
67	2.623145926
68	2.611188906
69	2.600119139
70	2.585517888
71	2.574528287
72	2.555987706
73	2.544089986
74	2.531848912
75	2.522787529
76	2.514214891
77	2.506423813
78	2.495595975
79	2.486897485
80	2.479278677
81	2.472054975
82	2.463284044
83	2.455062715
84	2.441244466
85	2.43260284
86	2.423431201
87	2.416236821
88	2.409691638
89	2.4027239
90	2.396790655
91	2.389305627
92	2.379707903
93	2.374453875
94	2.366448013
95	2.360513409
96	2.351951656
97	2.344773933
98	2.337834312
99	2.333201292
100	2.327012033
101	2.319624612
102	2.312299165
103	2.3047421
104	2.298717024
105	2.29377743
106	2.287549139
107	2.282727734
108	2.278085053
109	2.2719196
110	2.267218966
111	2.262748854
112	2.255868296
113	2.250445096
114	2.244952011
115	2.238893513
116	2.23530342
117	2.229893362
118	2.227831091
119	2.223430134
120	2.219875992
121	2.213977425
122	2.207186628
123	2.20184703
124	2.195442226
125	2.190032452
126	2.187417885
127	2.182381149
128	2.178159376
129	2.172346356
130	2.169469958
131	2.164255767
132	2.160120223
133	2.156085821
134	2.151963333
135	2.1479214
136	2.143269261
137	2.137410528
138	2.134617275
139	2.129825277
140	2.12441478
141	2.122647995
142	2.120199388
143	2.116676586
144	2.113701521
145	2.109511685
146	2.102907651
147	2.100549153
148	2.096225798
149	2.08993168
150	2.085110309
151	2.080608391
152	2.076599444
153	2.070158295
154	2.067289158
155	2.061923825
156	2.057111376
157	2.054045422
158	2.051908299
159	2.048054088
160	2.046039915
161	2.043362529
162	2.04155943
163	2.038420003
164	2.034050175
165	2.028968942
166	2.023388717
167	2.021385712
168	2.017655556
169	2.014345617
170	2.012404265
171	2.009127355
172	2.006051628
173	2.00099491
174	1.995959724
175	1.993703186
176	1.989966366
177	1.985345448
178	1.981400913
179	1.975416931
180	1.971658168
181	1.968931766
182	1.966081277
183	1.963357049
184	1.960737952
185	1.957779269
186	1.953649881
187	1.951954728
188	1.945756977
189	1.940149278
190	1.936901499
191	1.931392198
192	1.924562925
193	1.921335604
194	1.916689127
195	1.915131394
196	1.912294886
197	1.908211902
198	1.903340173
199	1.89860994
200	1.895105303
201	1.893529287
202	1.89072924
203	1.888603435
204	1.88544732
205	1.880286648
206	1.875703319
207	1.871064933
208	1.868025337
209	1.863611121
210	1.858666701
211	1.854066839
212	1.850628739
213	1.847382496
214	1.844312948
215	1.840732606
216	1.83679397
217	1.831262889
218	1.829679396
219	1.824657003
220	1.819279478
221	1.817642556
222	1.814234568
223	1.81237648
224	1.809023763
225	1.807905895
226	1.805400617
227	1.801709806
228	1.800144729
229	1.798636913
230	1.795136634
231	1.790988296
232	1.787654318
233	1.783562778
234	1.779734353
235	1.776361069
236	1.772336664
237	1.76825728
238	1.764778178
239	1.761600869
240	1.756843569
241	1.755054579
242	1.75354522
243	1.748296398
244	1.744307628
245	1.740860445
246	1.73881052
247	1.735413567
248	1.731646901
249	1.728040999
250	1.724827047
251	1.72310075
252	1.720580517
253	1.717748861
254	1.71459388
255	1.710721654
256	1.708038958
257	1.703699751
258	1.702022065
259	1.700266715
260	1.698610016
261	1.697232237
262	1.69352713
263	1.690361876
264	1.687626765
265	1.684247499
266	1.682198029
267	1.680516072
268	1.677085925
269	1.675744196
270	1.67261149
271	1.670379441
272	1.668199446
273	1.666205917
274	1.664637894
275	1.661103629
276	1.657843951
277	1.654345191
278	1.651312877
279	1.647727263
280	1.645006482
281	1.643262603
282	1.641618042
283	1.639703256
284	1.636286357
285	1.633920877
286	1.632219911
287	1.630659511
288	1.628211052
289	1.626900619
290	1.624778493
291	1.62304416
292	1.621036093
293	1.619633983
294	1.616907232
295	1.613291175
296	1.609824772
297	1.607835367
298	1.605229606
299	1.60103605
300	1.598481168
301	1.595762548
302	1.592690172
303	1.590571151
304	1.588404131
305	1.587052001
306	1.585278068
307	1.582690408
308	1.579283775
309	1.576971126
310	1.574569394
311	1.57391299
312	1.572540836
313	1.571630388
314	1.568491691
315	1.566176304
316	1.564452404
317	1.561766043
318	1.558372227
319	1.555924745
320	1.553969907
321	1.55219349
322	1.548967986
323	1.547286569
324	1.544018117
325	1.54268056
326	1.540750681
327	1.53829067
328	1.536372893
329	1.534590973
330	1.531670297
331	1.528801732
332	1.527093486
333	1.525731437
334	1.524309283
335	1.522412095
336	1.520065399
337	1.517829391
338	1.515412425
339	1.514812796
340	1.513101053
341	1.510438778
342	1.50828875
343	1.508160609
344	1.505805898
345	1.504651894
346	1.502834465
347	1.501415192
348	1.499373517
349	1.496498077
350	1.494721312
351	1.493878269
352	1.492689985
353	1.490044419
354	1.488520454
355	1.48641464
356	1.485001576
357	1.482287694
358	1.479569564
359	1.477944568
360	1.476383373
361	1.47363002
362	1.472825413
363	1.470916175
364	1.467343564
365	1.465169774
366	1.462869826
367	1.460554633
368	1.45863922
369	1.457391295
370	1.455761331
371	1.454260469
372	1.453044041
373	1.451463376
374	1.450693
375	1.449678341
376	1.448115846
377	1.445420685
378	1.444568049
379	1.442293011
380	1.440389738
381	1.438889129
382	1.436527015
383	1.433255898
384	1.430608641
385	1.429390525
386	1.426785017
387	1.425446535
388	1.422111505
389	1.420678371
390	1.418045449
391	1.416543284
392	1.416370084
393	1.41410824
394	1.412075302
395	1.410222925
396	1.408472501
397	1.407975484
398	1.40751828
399	1.407340174
400	1.405805952
